,
15.3 Release,15.3
15.4 Release,15.4
16.1 Release,16.1
16.2 Release,16.2
16.3 Release,16.3
16.3.5 mini-release,16.3.5
16.4 Release,16.4
16.4.14,16.4.14
17.1 Release,17.1
17.1.1,17.1.1
17.1.4 - no scheduled patch,17.1.4
17.2 Release,17.2
17.3 Release,17.3
17.3.5 mini-release,17.3.5
17.3.7,17.3.7
17.4 Release,17.4
17.4.12,17.4.12
18.1 Release,18.1
18.1.2,18.1.2
18.1.5,18.1.5
18.1.7,18.1.7
18.1.9,18.1.9
18.2 Release,18.2
18.2.2,18.2.2
18.2.3,18.2.3
18.2.4,18.2.4
18.2.5,18.2.5
18.2.7,18.2.7
18.3 Release,18.3
18.3.1,18.3.1
18.3.10,18.3.10
18.3.12,18.3.12
18.3.17,18.3.17
18.3.2,18.3.2
18.3.5 mini-release,18.3.5
18.3.7,18.3.7
18.3.9,18.3.9
18.4 Release,18.4
18.4.1,18.4.1
18.4.2,18.4.2
18.4.5,18.4.5
19.1 Release,19.1
19.1.1,19.1.1
19.1.3,19.1.3
19.1.4,19.1.4
19.1.5 mini-release,19.1.5
19.1.6,19.1.6
19.1.7,19.1.7
19.1.9,19.1.9
19.2 Release,19.2
19.2.1,19.2.1
19.2.3,19.2.3
19.2.4 mini-release,19.2.4
19.2.5,19.2.5
19.2.6,19.2.6
19.2.7 mini-release,19.2.7
19.2.8,19.2.8
19.2.9,19.2.9
19.3 Release,19.3
19.3.1,19.3.1
19.3.10,19.3.10
19.3.2,19.3.2
19.3.3,19.3.3
19.3.6,19.3.6
19.3.7,19.3.7
19.3.8,19.3.8
19.4 Release,19.4
19.4.1,19.4.1
19.4.13,19.4.13
19.4.2,19.4.2
19.4.3,19.4.3
19.4.4,19.4.4
19.4.5,19.4.5
19.4.9,19.4.9
20.1 Release,20.1
20.1.1,20.1.1
20.1.2,20.1.2
20.1.3,20.1.3
20.1.4 mini-release,20.1.4
20.2 Release,20.2
20.3 Release,20.3
20.4 Release,20.4
Backlog,Backlog
DP 17.01.01,
DP 17.01.03,
DP 17.02.06,
DP 17.03.07,
DP 17.03.09 Release,
DP 17.04.10,
DP 18.01.01,
DP 18.01.01 Release,
DP 18.01.02 Release,
DP 18.01.03 Release,
DP 18.02.04,
DP 18.04.11 Release,
DP 18.04.12,
DP 18.04.12 Release,
DP 19.01.01,
DP 19.03.08,
DP 19.03.09,
DP 19.04.10,
DP 19.04.11,
DT 12.1,12.1
DT 13.3,13.3
DT 13.4,13.4
DT 14.1,14.1
DT 14.2,14.2
DT 14.3,14.3
DT 14.4,14.4
DT 15.1,15.1
DT 15.2,15.2
DT 15.3,15.3
DT 15.4,15.4
DT 16.1,16.1
DT 16.2,16.2
DT 16.3,16.3
DT 16.4,16.4
DT 17.1,17.1
DT 17.2,17.2
DT 17.3,17.3
DT 17.4,17.4
DT 18.1,18.1
DT 18.2,18.2
DT 18.3,18.3
DT 18.4,18.4
DT 19.1,19.1
DT 19.2,19.2
DT 19.3,19.3
DT 19.4,19.4
DT 20.1,20.1
DT 20.2,20.2
IB 17.2.1,
IB 17.4,
Iteration #1 (16.2),16.2
Iteration #1 (16.3),16.3
Iteration #1 (18.2),18.2
Iteration #1 (18.3),18.3
Iteration #1 (18.4),18.4
Iteration #1 (19.4),19.4
Iteration #1 (20.2),20.2
Iteration #2 (17.4),17.4
Iteration #2 (18.3),18.3
Iteration #2 (18.4),18.4
Iteration #2 (19.3),19.3
Iteration #2 (19.4),19.4
Iteration #2 (20.2),20.2
Iteration #3 (16.1),16.1
Iteration #3 (16.3),16.3
Iteration #3 (18.2),18.2
Iteration #3 (18.3),18.3
Iteration #3 (18.4),18.4
Iteration #3 (19.3),19.3
Iteration #3 (19.4),19.4
Iteration #3 (20.2),20.2
Iteration #4 (17.3),17.3
Iteration #4 (18.2),18.2
Iteration #4 (18.3),18.3
Iteration #4 (19.3),19.3
